"local","tipo","hora","tot"
"Entrada","4",8,222
"Entrada","4",9,391
"Entrada","4",10,395
"Entrada","4",11,612
"Entrada","4",12,667
"Entrada","4",13,504
"Entrada","4",14,584
"Entrada","4",15,270
"Entrada","4",16,315
"Entrada","4",17,226
"Entrada","4",18,263
"Entrada","4",19,251
"Entrada","4",20,97
"Palco Getnet","1",8,288
"Palco Getnet","1",9,418
"Palco Getnet","1",10,349
"Palco Getnet","1",11,579
"Palco Getnet","1",12,390
"Palco Getnet","1",13,475
"Palco Getnet","1",14,306
"Palco Getnet","1",15,246
"Palco Getnet","1",16,311
"Palco Getnet","1",17,283
"Palco Getnet","1",18,908
"Palco Getnet","1",19,1165
"Palco Getnet","1",20,218
"Corredor","2",8,277
"Corredor","2",9,474
"Corredor","2",10,542
"Corredor","2",11,761
"Corredor","2",12,673
"Corredor","2",13,653
"Corredor","2",14,702
"Corredor","2",15,455
"Corredor","2",16,438
"Corredor","2",17,339
"Corredor","2",18,286
"Corredor","2",19,210
"Corredor","2",20,274
"Restaurante","3",8,36
"Restaurante","3",9,44
"Restaurante","3",10,117
"Restaurante","3",11,336
"Restaurante","3",12,481
"Restaurante","3",13,504
"Restaurante","3",14,244
"Restaurante","3",15,53
"Restaurante","3",16,51
"Restaurante","3",17,42
"Restaurante","3",18,54
"Restaurante","3",19,45
"Restaurante","3",20,21
